name,article,actualname,plural,itemid,objectclass,primarytype,slot,implemented,immobile,walkable,pickupable,levelrequired,vocrequired,imbueslots,upgradeclass,attrib,armor,weight,stackable,marketable,droppedby,value,npcvalue,npcprice,buyfrom,sellto,notes,history,defense,holdsliquid,usable,status,sounds,flavortext,duration,attack,npcvaluerook,npcpricerook,hands,weapontype,enchantable,secondarytype,volume,consumable,regenseconds,defensemod,hangable,range,atk_mod,hit_mod,blockspath,writable,writechars,fansite,words,lightradius,lightcolor,mlrequired,storevalue,damagetype,imbuements,tertiarytype,rewritable,pricecurrency,wrappable,manaleech_ch,manaleech_am,crithit_ch,critextra_dmg,hpleech_ch,hpleech_am,resist,ice_attack,augments,death_attack,fire_attack,earth_attack,manacost,damagerange,energy_attack,elementalbond,charges,destructible,location,mantra,notes2,enchanted,rotatable
Reward Box (25th Anniversary),a,reward box,-,39705,Household Items,Decorations,-,12.87.12038,no,yes,yes,-,-,-,-,-,-,139.10,yes,-,-,-,-,-,-,-,It can be obtained by characters with more than 999 but less than 7197 [[Theons]] by talking to [[Theodora]]. \n\nBy opening it you'll get all of the following items:\n* {{Ilink|Bottle of Champagne}} 2x [[Bottle of Champagne]]\n* {{Ilink|Candy Floss (Large)}} 2x [[Candy Floss (Large)]]\n* {{Ilink|Ice Cream Cone (Sprinkles)}} 2x [[Ice Cream Cone (Sprinkles)]]\n* {{Ilink|Birthday Layer Cake}} 2x [[Birthday Layer Cake]]s\n* {{Ilink|Balloon Box}} 2x [[Balloon Box]]es\n* {{Ilink|Luminous Box}} 1x [[Luminous Box]]\n* {{Ilink|Carpet Box}} 2x [[Carpet Box]]es\n* {{Ilink|Special Fx Box}} 3x [[Special Fx Box]]es\n* {{Ilink|Special Carpet Box}} 2x [[Special Carpet Box]]es\n* {{Ilink|Box Full of Presents}} 2x [[Box Full of Presents]]\n* {{Ilink|Supernatural Box}} 1x [[Supernatural Box]]\n* {{Ilink|Special Balloon Box}} 2x [[Special Balloon Box]]es\n* {{Ilink|Embroidered Box}} 1x [[Embroidered Box]],-,-,-,yes,-,-,It could be exchanged for Theons after the festivities of Tibia's 25th anniversary.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rhindeer Antlers,a,rhindeer antlers,-,40587,"Plants, Animal Products, Food and Drink",Creature Products,-,13.10.12852,no,yes,yes,-,-,-,-,-,-,5.70,yes,yes,Rhindeer,Negotiable,680,0,-,Yasir,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ripptor Claw,a,ripptor claw,-,39389,"Plants, Animal Products, Food and Drink",Creature Products,-,12.90.12182,no,yes,yes,-,-,-,-,-,-,2.80,yes,-,Noxious Ripptor,Negotiable,2600,0,-,Yasir,-,-,-,-,no,-,{{Sound List|}},-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ripptor Scales,a,ripptor scales,-,39391,"Plants, Animal Products, Food and Drink",Creature Products,-,12.90.12182,no,yes,yes,-,-,-,-,-,-,0.30,yes,-,Noxious Ripptor,Negotiable,1200,0,-,Yasir,-,-,-,-,no,-,{{Sound List|}},-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ritual Tooth,a,ritual tooth,-,40528,"Plants, Animal Products, Food and Drink",Creature Products,-,13.10.12852,no,yes,yes,-,-,-,-,-,-,0.55,yes,yes,Ahau | Iks Ahpututu | Iks Aucar | Iks Chuka | Iks Pututu,Negotiable,135,0,-,Yasir,-,-,-,-,-,-,{{Sound List|}},-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rogue Naga Scales,-,rogue naga scales,-,39416,"Plants, Animal Products, Food and Drink",Creature Products,-,12.90.12182,no,yes,yes,-,-,-,-,-,-,0.30,yes,-,Rogue Naga,Negotiable,570,0,-,Yasir,-,-,-,-,no,-,{{Sound List|}},-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rotten Feather,a,rotten feather,-,40527,"Plants, Animal Products, Food and Drink",Creature Products,-,13.10.12852,no,yes,yes,-,-,-,-,-,-,0.20,yes,yes,Ahau | Iks Ahpututu | Iks Aucar | Iks Chuka | Iks Pututu,Negotiable,120,0,-,Yasir,-,-,-,-,-,-,{{Sound List|}},-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rotten Roots,a,rotten roots,-,43849,"Plants, Animal Products, Food and Drink",Creature Products,-,13.20.13560,no,yes,yes,-,-,-,-,-,-,1.00,yes,yes,Meandering Mushroom | Oozing Carcass | Oozing Corpus | Rotten Man-Maggot | Sopping Carcass,Negotiable,3800,0,-,Yasir,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rotten Vermin Ichor,a,rotten vermin ichor,-,43847,"Plants, Animal Products, Food and Drink",Creature Products,-,13.20.13560,no,yes,yes,-,-,-,-,-,-,1.00,yes,yes,-,Negotiable,4500,0,-,Yasir,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Royal Almandine,a,royal almandine,-,39038,Other Items,Valuables,-,12.90.12182,no,yes,yes,-,-,-,-,-,-,1.75,yes,-,Plunder Patriarch | Ichgahal | ,Negotiable,460000,0,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,-,-,-,-,5,107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rubbish (1),-,rubbish,-,3108,Other Items,Rubbish,-,4.0,no,yes,yes,-,-,-,-,-,-,1.00,yes,-,-,no,0,0,-,-,-,-,-,no,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rubbish (2),-,rubbish,-,3109,Other Items,Rubbish,-,4.0,no,yes,yes,-,-,-,-,-,-,0.30,yes,-,-,no,0,0,-,-,-,-,-,no,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rubbish (3),-,rubbish,-,3126,Other Items,Rubbish,-,6.0,no,yes,yes,-,-,-,-,-,-,0.80,yes,-,-,no,0,0,-,-,-,-,-,no,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rubbish (4),-,rubbish,-,3127,Other Items,Rubbish,-,6.0,no,yes,yes,-,-,-,-,-,-,0.70,yes,-,-,no,0,0,-,-,-,-,-,no,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rubbish (5),-,rubbish,-,3128,Other Items,Rubbish,-,6.0,no,yes,yes,-,-,-,-,-,-,1.20,yes,-,-,no,0,0,-,-,-,-,-,no,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sabretooth Fur,a,sabretooth fur,-,39378,"Plants, Animal Products, Food and Drink",Creature Products,-,12.90.12182,no,yes,yes,-,-,-,-,-,-,1.35,yes,-,Sabretooth (Creature),Negotiable,2500,0,-,Yasir,-,-,-,-,no,-,{{Sound List|}},-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sanguine Battleaxe,a,sanguine battleaxe,sanguine battleaxes,43874,Weapons,Axe Weapons,Both Hands,13.20.13560,no,yes,yes,600,knights,3,4,axe fighting +4,-,85.00,-,yes,-,Negotiable,0,0,-,-,"It is part of the [[Sanguine Set]]. This item is not dropped directly, but can be looted via a [[Bag You Covet]] from any boss in the areas of the [[Rotten Blood Quest]], or through a [[Crimson Offering]].","* On {{OfficialNewsArchive|8436|July 21, 2025}}, the [[Summer Update 2025]] nerfed some of its attributes with the introduction of [[Weapon Proficiency]].",35,-,yes,-,-,-,-,8,-,-,Two,Axe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-
Sanguine Blade,a,sanguine blade,sanguine blades,43864,Weapons,Sword Weapons,Weapon Hand,13.20.13560,no,yes,yes,600,knights,2,4,sword fighting +4,-,61.00,no,yes,-,Negotiable,0,0,-,-,"It is part of the [[Sanguine Set]]. This item is not dropped directly, but can be looted via a [[Bag You Covet]] from any boss in the areas of the [[Rotten Blood Quest]], or through a [[Crimson Offering]].","* On {{OfficialNewsArchive|8436|July 21, 2025}}, the [[Summer Update 2025]] nerfed some of its attributes with the introduction of [[Weapon Proficiency]].",32,-,yes,-,-,-,-,8,-,-,One,Sword,-,-,-,-,-,+3,-,-,-,-,-,-,-,-,-,3,194,-,-,-,-,-,-,-,-,-,1%,-,-,-,3%,-,-,-,-,46,-,-,-,-,-,-,-,-,-,-,-,-
Sanguine Bludgeon,a,sanguine bludgeon,sanguine bludgeons,43872,Weapons,Club Weapons,Both Hands,13.20.13560,no,yes,yes,600,knights,3,4,club fighting +4,-,93.00,-,yes,-,Negotiable,0,0,-,-,"It is part of the [[Sanguine Set]]. This item is not dropped directly, but can be looted via a [[Bag You Covet]] from any boss in the areas of the [[Rotten Blood Quest]], or through a [[Crimson Offering]].","* On {{OfficialNewsArchive|8436|July 21, 2025}}, the [[Summer Update 2025]] nerfed some of its attributes with the introduction of [[Weapon Proficiency]].",35,-,yes,-,-,-,-,8,-,-,Two,Club,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
Sanguine Boots,-,sanguine boots,-,43884,Body Equipment,Boots,Feet,13.20.13560,no,yes,yes,500,sorcerers,1,4,"speed +10, magic level +2, death magic level +1",3,19.00,no,yes,-,Negotiable,0,0,-,-,"It is part of the [[Sanguine Set]]. This item is not dropped directly, but can be looted via a [[Bag You Covet]] from any boss in the areas of the [[Rotten Blood Quest]], or through a [[Crimson Offering]].",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"physical +2%, ice +8%",-,"Avatar of Storm -> -900s cooldown, Hell's Core -> +8% critical extra damage, Energy Wave -> +8% critical extra damage",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sanguine Bow,a,sanguine bow,sanguine bows,43877,Weapons,Distance Weapons,Both Hands,13.20.13560,no,yes,yes,600,paladins,3,4,distance fighting +3,-,47.00,no,yes,-,Negotiable,0,0,-,-,"It is part of the [[Sanguine Set]]. This item is not dropped directly, but can be looted via a [[Bag You Covet]] from any boss in the areas of the [[Rotten Blood Quest]], or through a [[Crimson Offering]].","* On {{OfficialNewsArchive|8436|July 21, 2025}}, the [[Summer Update 2025]] nerfed some of its attributes with the introduction of [[Weapon Proficiency]].",-,-,-,-,-,-,-,-,-,-,Two,Distance,-,Bows,-,-,-,-,-,6,9,+6,-,-,-,-,-,3,194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,earth +6%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sanguine Coil,a,sanguine coil,-,43882,Weapons,Wands,Weapon Hand,13.20.13560,no,yes,yes,600,sorcerers,2,4,"magic level +4, fire magic level +1, energy magic level +1",-,22.00,no,yes,-,Negotiable,0,0,-,-,"It is part of the [[Sanguine Set]]. This item is not dropped directly, but can be looted via a [[Bag You Covet]] from any boss in the areas of the [[Rotten Blood Quest]], or through a [[Crimson Offering]].","* On {{OfficialNewsArchive|8436|July 21, 2025}}, the [[Summer Update 2025]] nerfed some of its attributes with the introduction of [[Weapon Proficiency]].",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,194,-,-,fire,-,-,-,-,-,-,1%,-,5%,-,2%,earth +7%,-,-,-,-,-,21,113-125,-,-,-,-,-,-,-,-,-
Sanguine Crossbow,a,sanguine crossbow,sanguine crossbows,43879,Weapons,Distance Weapons,Both Hands,13.20.13560,no,yes,yes,600,paladins,3,4,distance fighting +3,-,47.00,-,yes,-,Negotiable,0,0,-,-,"It is part of the [[Sanguine Set]]. This item is not dropped directly, but can be looted via a [[Bag You Covet]] from any boss in the areas of the [[Rotten Blood Quest]], or through a [[Crimson Offering]].","* On {{OfficialNewsArchive|8436|July 21, 2025}}, the [[Summer Update 2025]] nerfed some of its attributes with the introduction of [[Weapon Proficiency]].",-,-,-,-,-,-,-,-,-,-,Two,Distance,-,Crossbows,-,-,-,-,-,6,10,+7,-,-,-,-,-,3,194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fire +6%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sanguine Cudgel,a,sanguine cudgel,sanguine cudgels,43866,Weapons,Club Weapons,Weapon Hand,13.20.13560,no,yes,yes,600,knights,2,4,club fighting +4,-,69.00,no,yes,-,Negotiable,0,0,-,-,"It is part of the [[Sanguine Set]]. This item is not dropped directly, but can be looted via a [[Bag You Covet]] from any boss in the areas of the [[Rotten Blood Quest]], or through a [[Crimson Offering]].","* On {{OfficialNewsArchive|8436|July 21, 2025}}, the [[Summer Update 2025]] nerfed some of its attributes with the introduction of [[Weapon Proficiency]].",32,-,yes,-,-,-,-,8,-,-,One,Club,-,-,-,-,-,+3,-,-,-,-,-,-,-,-,-,3,194,-,-,-,-,-,-,-,-,-,1%,-,-,-,3%,-,-,-,46,-,-,-,-,-,-,-,-,-,-,-,-,-
Sanguine Galoshes,-,sanguine galoshes,-,43887,Body Equipment,Boots,Feet,13.20.13560,no,yes,yes,500,druids,1,4,"speed +10, magic level +2, healing magic level +1",3,17.00,no,yes,-,Negotiable,0,0,-,-,"It is part of the [[Sanguine Set]]. This item is not dropped directly, but can be looted via a [[Bag You Covet]] from any boss in the areas of the [[Rotten Blood Quest]], or through a [[Crimson Offering]].",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"physical +2%, fire +8%",-,"Avatar of Nature -> -900s cooldown, Eternal Winter -> +8% critical extra damage, Terra Wave -> +8% critical extra damage",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sanguine Greaves,-,sanguine greaves,-,43881,Body Equipment,Legs,Legs,13.20.13560,no,yes,yes,500,paladins,-,4,"distance fighting +4, holy magic level +1",11,32.00,no,yes,-,Negotiable,0,0,-,-,"It is part of the [[Sanguine Set]]. This item is not dropped directly, but can be looted via a [[Bag You Covet]] from any boss in the areas of the [[Rotten Blood Quest]], or through a [[Crimson Offering]].",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"physical +7%, energy +9%",-,"Avatar of Light -> -900s cooldown, Divine Caldera -> 8% critical extra damage",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sanguine Hatchet,a,sanguine hatchet,sanguine hatchets,43868,Weapons,Axe Weapons,Weapon Hand,13.20.13560,no,yes,yes,600,knights,2,4,axe fighting +4,-,72.00,no,yes,-,Negotiable,0,0,-,-,"It is part of the [[Sanguine Set]]. This item is not dropped directly, but can be looted via a [[Bag You Covet]] from any boss in the areas of the [[Rotten Blood Quest]], or through a [[Crimson Offering]].","* On {{OfficialNewsArchive|8436|July 21, 2025}}, the [[Summer Update 2025]] nerfed some of its attributes with the introduction of [[Weapon Proficiency]].",32,-,yes,-,-,-,-,8,-,-,One,Axe,-,-,-,-,-,+3,-,-,-,-,-,-,-,-,-,3,194,-,-,-,-,-,-,-,-,-,1%,-,-,-,3%,-,-,-,-,46,-,-,-,-,-,-,-,-,-,-,-,-
Sanguine Legs,-,sanguine legs,-,43876,Body Equipment,Legs,Legs,13.20.13560,no,yes,yes,500,knights,-,4,"sword fighting +4, axe fighting +4, club fighting +4",12,38.00,no,yes,-,Negotiable,0,0,-,-,"It is part of the [[Sanguine Set]]. This item is not dropped directly, but can be looted via a [[Bag You Covet]] from any boss in the areas of the [[Rotten Blood Quest]], or through a [[Crimson Offering]].",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"physical +9%, death +6%",-,"Avatar of Steel -> -900s cooldown, Fierce Berserk -> +8% critical extra damage",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sanguine Razor,a,sanguine razor,sanguine razors,43870,Weapons,Sword Weapons,Both Hands,13.20.13560,no,yes,yes,600,knights,3,4,sword fighting +4,-,81.00,-,yes,-,Negotiable,0,0,-,-,"It is part of the [[Sanguine Set]]. This item is not dropped directly, but can be looted via a [[Bag You Covet]] from any boss in the areas of the [[Rotten Blood Quest]], or through a [[Crimson Offering]].","* On {{OfficialNewsArchive|8436|July 21, 2025}}, the [[Summer Update 2025]] nerfed some of its attributes with the introduction of [[Weapon Proficiency]].",35,-,yes,-,-,-,-,8,-,-,Two,Sword,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-
Sanguine Rod,a,sanguine rod,-,43885,Weapons,Rods,Weapon Hand,13.20.13560,no,yes,yes,600,druids,2,4,"magic level +4, ice magic level +1, earth magic level +1",-,25.00,no,yes,-,Negotiable,0,0,-,-,"It is part of the [[Sanguine Set]]. This item is not dropped directly, but can be looted via a [[Bag You Covet]] from any boss in the areas of the [[Rotten Blood Quest]], or through a [[Crimson Offering]].","* On {{OfficialNewsArchive|8436|July 21, 2025}}, the [[Summer Update 2025]] nerfed some of its attributes with the introduction of [[Weapon Proficiency]].",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,194,-,-,earth,-,-,-,-,-,-,1%,-,5%,-,6%,death +7%,-,-,-,-,-,20,100-124,-,-,-,-,-,-,-,-,-
Santa Ahau,a,santa Ahau,-,42175,Household Items,Decorations,-,13.10.12852,no,yes,yes,-,-,-,-,-,-,6.00,-,yes,-,Negotiable,0,0,Ruprecht,-,You can purchase one by trading 250 [[Christmas Token]]s to [[Ruprecht]] on [[Vega]].,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Scarab Ocarina,a,scarab ocarina,-,43740,Other Items,Quest Items,Extra Slot,13.20.13560,no,yes,yes,-,-,-,-,-,-,1.20,-,yes,-,Negotiable,0,0,-,-,Obtained during the {{Spoiler Section|Grimvale Quest|Paradise Lost}}.,-,-,-,yes,-,-,It has a turquoise shimmer and was made from a real scarab shell.,-,-,-,-,-,-,-,Light Sources,-,-,-,-,-,-,-,-,-,-,-,-,-,3,137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,earth +2%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Seashell Book (Library Blue),a,seashell book,-,14014,Household Items,Books,-,9.40,no,yes,yes,-,-,-,-,-,-,-,no,-,-,Negotiable,0,0,-,-,It's one of the three book types present in the [[Gray Beach Libraries]].,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Seashell Book (Library Green),a,seashell book,-,14016,Household Items,Books,-,9.40,no,yes,yes,-,-,-,-,-,-,-,no,-,-,Negotiable,0,0,-,-,It's one of the three book types present in the [[Gray Beach Libraries]].,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Seashell Book (Library Yellow),a,seashell book,-,14014,Household Items,Books,-,9.40,no,yes,yes,-,-,-,-,-,-,-,no,-,-,Negotiable,0,0,-,-,It's one of the three book types present in the [[Gray Beach Libraries]].,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shield of Destiny (Replica),a,shield of destiny,-,43517,Body Equipment,Valuables,Shield Hand,13.16.13209,no,yes,yes,-,-,-,-,-,-,68.00,-,yes,-,Negotiable,0,20,Jorge,-,You can obtain this item by trading 20 [[Silver Raid Token]]s with [[Jorge]]. This is a replica of a [[Shield of Destiny]].,-,-,-,-,-,-,Souvenir from Thais Museum.,-,-,-,-,-,-,-,Replicas,-,-,-,-,-,-,-,-,-,-,-,-,-,5,213,-,-,-,-,-,-,[[Silver Raid Token]]s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shimmering Pearl,a,shimmering pearl,-,39135,-,-,-,12.90.12182,no,yes,yes,-,-,-,-,-,-,0.20,no,-,-,Negotiable,0,0,-,-,"It can only be taken during a mission of the [[Within the Tides Quest]], but it's not required for it.",-,-,-,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rabbit Soul Core,a,rabbit soul core,-,47450,Other Items,Soul Cores,-,13.40.54ea79,-,-,yes,-,-,-,-,-,-,10.00,yes,yes,-,Negotiable,0,0,-,-,-,-,-,-,-,-,-,Offers a soul to the Soulpit. Combine with another soul core to create a random new soul core.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rage Squid Soul Core,a,rage squid soul core,-,47909,Other Items,Soul Cores,-,13.40.54ea79,-,-,yes,-,-,-,-,-,-,10.00,yes,yes,-,Negotiable,0,0,-,-,-,-,-,-,-,-,-,Offers a soul to the Soulpit. Combine with another soul core to create a random new soul core.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Raging Fire Soul Core,a,raging fire soul core,-,47815,Other Items,Soul Cores,-,13.40.54ea79,-,-,yes,-,-,-,-,-,-,10.00,yes,yes,-,Negotiable,0,0,-,-,-,-,-,-,-,-,-,Offers a soul to the Soulpit. Combine with another soul core to create a random new soul core.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rainbow Waffles,a,rainbow waffles,-,48248,Other Items,Quest Items,-,13.40.54ea79,-,-,yes,-,-,-,-,-,-,0.50,no,no,Katex Blood Tongue,Negotiable,0,0,-,-,"You have a 100% chance to loot the [[Rainbow Waffles]] until you hand them into NPC [[Sugar Plum Fairy]] during part of the [[Threatened Dreams Quest#Sweet Dreams|Threatened Dreams Quest - Sweet Dreams]]. After handing them in, the chance of looting this item again becomes very low.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Decorations,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rainbow Waffles Recipe,a,rainbow waffles recipe,-,48483,Other Items,Quest Items,-,13.40.54ea79,-,-,yes,-,-,-,-,-,-,1.00,-,yes,-,Negotiable,0,0,-,-,"It can be found inside a bottle in [[Candia]], {{Mapper Coords|text=here|130.79|125.123|7|4}}. It can only be picked up after finishing the [[Threatened Dreams Quest#Sweet Dreams|Threatened Dreams Quest - Sweet Dreams]].",-,-,-,yes,-,-,-,-,-,-,-,-,-,-,Decorations,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rat Soul Core,a,rat soul core,-,47398,Other Items,Soul Cores,-,13.40.54ea79,-,-,yes,-,-,-,-,-,-,10.00,yes,yes,-,Negotiable,0,0,-,-,-,-,-,-,-,-,-,Offers a soul to the Soulpit. Combine with another soul core to create a random new soul core.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ravenous Lava Lurker Soul Core,a,ravenous lava lurker soul core,-,47888,Other Items,Soul Cores,-,13.40.54ea79,-,-,yes,-,-,-,-,-,-,10.00,yes,yes,-,Negotiable,0,0,-,-,-,-,-,-,-,-,-,Offers a soul to the Soulpit. Combine with another soul core to create a random new soul core.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
